sid,fid,LINK_ID,F_NODE,T_NODE,LANES,ROAD_RANK,ROAD_TYPE,ROAD_NO,ROAD_NAME,ROAD_USE,MULTI_LINK,CONNECT,MAX_SPD,REST_VEH,REST_W,REST_H,LENGTH,REMARK,ADM_SECT_C,SGG_NM,SGG_OID,COL_ADM_SE,GID,distance,angle,rk,rk_count,mammal,wc_num,wc_dist,wc_type,wc_year,wc_road_n
6451,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,4000,188.35048,0,0,0,1375,4.585451388,2,2009,2
6452,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,5000,172.3191213,0,0,0,1375,3.849633625,2,2009,2
6453,57704,2860025436,2860347100,2860036100,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6647.400099,,44150,공주시,,44150,51,6000,216.6756388,0,1,0,1374,3.509930334,1,2009,4
6454,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,0,203.789308,0,63,2,1374,1.071404272,1,2009,4
6455,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,1000,166.0113555,0,53,0,1374,1.730880913,1,2009,4
6456,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,2000,168.4975074,0,0,0,1374,2.719430807,1,2009,4
6457,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,3000,190.2169112,0,0,0,1374,3.665135906,1,2009,4
6458,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,4000,212.27499,0,0,0,1374,4.494554961,1,2009,4
6459,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,5000,207.2150909,0,0,0,1374,5.250088121,1,2009,4
6460,57700,2860025403,2860033800,2860011300,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6146.004709,,44150,공주시,,44150,51,6000,166.2889433,0,0,0,1258,5.98321633,2,2008,4
6461,57696,2860031404,2860029700,2860029800,2,103,0,32,금벽로,0,0,0,70,0,0,0,767.9608099,,44150,공주시,,44150,51,0,302.8347848,0,1,0,1375,4.107148708,2,2009,2
6462,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,0,338.8633639,0,0,0,1258,6.045468328,2,2008,4
6463,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,1000,21.20247803,0,0,0,1374,5.377470404,1,2009,4
6464,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,2000,35.41582262,0,0,0,1374,4.602735855,1,2009,4
6465,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,3000,13.479248,0,0,0,1374,3.793395669,1,2009,4
6466,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,4000,351.4328925,0,0,0,1374,2.862340296,1,2009,4
6467,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,5000,344.7193386,0,53,0,1374,1.875190338,1,2009,4
6468,57668,2860025306,2860011300,2860033800,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,6136.533329,,44150,공주시,,44150,51,6000,22.69819648,0,70,2,1374,1.117086397,1,2009,4
6469,57657,2860028300,2860012400,2860013100,2,103,0,36,공수원로,0,0,0,70,0,0,0,893.2358529,,44150,공주시,,44150,51,0,31.99199674,0,22,0,1258,1.045968933,2,2008,4
6470,57654,2860025301,2860026401,2860027000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,5407.839677,,44150,공주시,,44150,51,0,2.238327746,0,46,0,1275,9.070560291,1,2008,8
6471,57654,2860025301,2860026401,2860027000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,5407.839677,,44150,공주시,,44150,51,1000,2.590497403,0,49,0,1275,9.701268271,1,2008,8
6472,57654,2860025301,2860026401,2860027000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,5407.839677,,44150,공주시,,44150,51,2000,1.054455305,0,46,0,1275,10.38822432,1,2008,8
6473,57654,2860025301,2860026401,2860027000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,5407.839677,,44150,공주시,,44150,51,3000,3.426051727,0,63,0,1275,11.10018844,1,2008,8
6474,57654,2860025301,2860026401,2860027000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,5407.839677,,44150,공주시,,44150,51,4000,19.91274592,0,59,0,1275,11.96791268,1,2008,8
6475,57654,2860025301,2860026401,2860027000,2,101,0,25,논산천안고속도로,0,0,0,110,5,0,0,5407.839677,,44150,공주시,,44150,51,5000,2.246565483,0,73,0,1275,12.87619247,1,2008,8
6476,57652,2860033500,2860015600,2860015400,3,103,0,32,금벽로,0,0,0,50,0,0,0,208.0470767,,44150,공주시,,44150,51,0,134.3921084,0,0,0,1375,3.191450847,2,2009,2
6477,57651,2860034000,2860015600,2860015800,3,103,0,32,금벽로,0,0,0,50,0,0,0,348.9241658,,44150,공주시,,44150,51,0,306.2748826,0,0,0,1375,3.179980224,2,2009,2
6478,268108,3000012100,3000005100,3000005600,1,101,0,15,서해안고속도로,0,0,101,50,5,0,0,1066.117272,,44270,당진시,,44270,45,0,344.3490963,0,8,0,1377,0.62938204,1,2009,2
6479,268108,3000012100,3000005100,3000005600,1,101,0,15,서해안고속도로,0,0,101,50,5,0,0,1066.117272,,44270,당진시,,44270,45,1000,55.0943159,0,6,0,1377,1.398431491,1,2009,2
6480,57644,2860033400,2860015300,2860015400,3,103,0,32,금벽로,0,0,0,50,0,0,0,137.2966685,,44150,공주시,,44150,51,0,304.6130643,0,0,0,1375,3.268267723,2,2009,2
